size_usdc,spot_price_usdc_per_weth,executable_output_weth,average_execution_price_usdc_per_weth,price_impact_bps,minimum_output_weth,pool_fee_usdc,slippage_tolerance_bps,block_number,raw_ref
100,1903.005446419877919750309569,0.052389478392237505,1908.780218258803983441317763,30.34553500511591115983788000,0.052127531000276317,0.300000,50,49641814,tests/fixtures/amm/base_aerodrome_weth_usdc_block_49641814.json
500,1903.005446419877919750309569,0.261920729277126889,1908.974525918381314722093334,31.36659177583026759942592000,0.260611125630741254,1.500000,50,49641814,tests/fixtures/amm/base_aerodrome_weth_usdc_block_49641814.json
1000,1903.005446419877919750309569,0.523774817107841071,1909.217410492852980521597121,32.64291273922322207444676000,0.521155943022301865,3.000000,50,49641814,tests/fixtures/amm/base_aerodrome_weth_usdc_block_49641814.json
